giornata,squadra,titolare
2,Parma,ESTEVEZ
2,Parma,SOHM
2,Parma,MAN
2,Parma,BERNABE'
2,Parma,MIHAILA
2,Parma,BONNY
2,Milan,OKAFOR
2,Milan,LEAO
2,Milan,LOFTUS-CHEEK
2,Milan,PULISIC
2,Milan,REIJNDERS
2,Milan,MUSAH
2,Milan,HERNANDEZ T.
2,Milan,PAVLOVIC
2,Milan,TOMORI
2,Milan,CALABRIA
2,Milan,MAIGNAN
2,Udinese,OKOYE
2,Udinese,PEREZ N.
2,Udinese,BIJOL
2,Udinese,GIANNETTI L.
2,Udinese,EHIZIBUE
2,Udinese,KARLSTROM
2,Udinese,PAYERO
2,Udinese,KAMARA H.
2,Udinese,THAUVIN
2,Udinese,BRENNER
2,Udinese,LUCCA
2,Lazio,ZACCAGNI
2,Lazio,CASTELLANOS
2,Lazio,NOSLIN
2,Lazio,DELE-BASHIRU
2,Lazio,VECINO
2,Lazio,GUENDOUZI
2,Lazio,MARUSIC
2,Lazio,ROMAGNOLI
2,Lazio,CASALE
2,Lazio,LAZZARI
2,Lazio,PROVEDEL
2,Inter,SOMMER
2,Inter,PAVARD
2,Inter,ACERBI
2,Inter,BASTONI
2,Inter,DARMIAN
2,Inter,BARELLA
2,Inter,CALHANOGLU
2,Inter,MKHITARYAN
2,Inter,DIMARCO
2,Inter,TAREMI
2,Inter,THURAM
2,Lecce,KRSTOVIC
2,Lecce,DORGU
2,Lecce,RAFIA
2,Lecce,BANDA
2,Lecce,PIERRET
2,Lecce,RAMADANI
2,Lecce,GALLO
2,Lecce,GASPAR K.
2,Lecce,BASCHIROTTO
2,Lecce,GENDREY
2,Lecce,FALCONE
2,Monza,PIZZIGNACCO
2,Monza,IZZO
2,Monza,MARI'
2,Monza,CALDIROLA
2,Monza,BIRINDELLI
2,Monza,PESSINA
2,Monza,BONDO
2,Monza,KYRIAKOPOULOS
2,Monza,MALDINI
2,Monza,MOTA
2,Monza,PETAGNA
2,Genoa,VITINHA O.
2,Genoa,PINAMONTI
2,Genoa,MARTIN
2,Genoa,MESSIAS
2,Genoa,BADELJ
2,Genoa,FRENDRUP
2,Genoa,SABELLI
2,Genoa,VASQUEZ
2,Genoa,BANI
2,Genoa,DE WINTER
2,Genoa,GOLLINI
2,Fiorentina,TERRACCIANO
2,Fiorentina,COMUZZO
2,Fiorentina,RANIERI L.
2,Fiorentina,BIRAGHI
2,Fiorentina,DODO'
2,Fiorentina,RICHARDSON
2,Fiorentina,AMRABAT
2,Fiorentina,PARISI
2,Fiorentina,BARAK
2,Fiorentina,KOUAME'
2,Fiorentina,KEAN
2,Venezia,GYTKJAER
2,Venezia,ORISTANIO
2,Venezia,ELLERTSSON
2,Venezia,ZAMPANO
2,Venezia,DUNCAN
2,Venezia,ANDERSEN M.K.
2,Venezia,CANDELA
2,Venezia,SVERKO
2,Venezia,ALTARE
2,Venezia,IDZES
2,Venezia,JORONEN
2,Torino,MILINKOVIC-SAVIC V.
2,Torino,TAMEZE
2,Torino,COCO
2,Torino,MASINA
2,Torino,VOJVODA
2,Torino,LINETTY
2,Torino,RICCI S.
2,Torino,ILIC
2,Torino,LAZARO
2,Torino,ADAMS C.
2,Torino,ZAPATA D.
2,Atalanta,RETEGUI
2,Atalanta,DE KETELAERE
2,Atalanta,PASALIC
2,Atalanta,RUGGERI
2,Atalanta,BRESCIANINI
2,Atalanta,EDERSON D.S.
2,Atalanta,ZAPPACOSTA
2,Atalanta,DJIMSITI
2,Atalanta,HIEN
2,Atalanta,DE ROON
2,Atalanta,CARNESECCHI
2,Napoli,MERET
2,Napoli,DI LORENZO
2,Napoli,RRAHMANI
2,Napoli,BUONGIORNO
2,Napoli,MAZZOCCHI
2,Napoli,ZAMBO ANGUISSA
2,Napoli,LOBOTKA
2,Napoli,OLIVERA
2,Napoli,POLITANO
2,Napoli,KVARATSKHELIA
2,Napoli,RASPADORI
2,Bologna,NDOYE
2,Bologna,CASTRO S.
2,Bologna,ORSOLINI
2,Bologna,AEBISCHER
2,Bologna,FREULER
2,Bologna,MORO N.
2,Bologna,LYKOGIANNIS
2,Bologna,ERLIC
2,Bologna,BEUKEMA
2,Bologna,POSCH
2,Bologna,SKORUPSKI
2,Roma,SVILAR
2,Roma,CELIK
2,Roma,N'DICKA
2,Roma,MANCINI
2,Roma,ANGELINO
2,Roma,CRISTANTE
2,Roma,PAREDES
2,Roma,PELLEGRINI LO.
2,Roma,SOULE'
2,Roma,DYBALA
2,Roma,DOVBYK
2,Empoli,COLOMBO
2,Empoli,SOLBAKKEN
2,Empoli,FAZZINI
2,Empoli,PEZZELLA GIU.
2,Empoli,MALEH
2,Empoli,HENDERSON L.
2,Empoli,GYASI
2,Empoli,VITI
2,Empoli,ISMAJLI
2,Empoli,WALUKIEWICZ
2,Empoli,VASQUEZ D.
2,Cagliari,SCUFFET
2,Cagliari,ZAPPA
2,Cagliari,MINA
2,Cagliari,LUPERTO
2,Cagliari,AZZI
2,Cagliari,DEIOLA
2,Cagliari,PRATI
2,Cagliari,MARIN
2,Cagliari,AUGELLO
2,Cagliari,LUVUMBO
2,Cagliari,PICCOLI
2,Como,CUTRONE
2,Como,BELOTTI
2,Como,DA CUNHA
2,Como,BRAUNODER
2,Como,MAZZITELLI
2,Como,STREFEZZA
2,Como,MORENO ALB.
2,Como,BARBA
2,Como,DOSSENA
2,Como,IOVINE
2,Como,REINA
2,Verona,MONTIPO'
2,Verona,DAWIDOWICZ
2,Verona,COPPOLA D.
2,Verona,MAGNANI
2,Verona,TCHATCHOUA
2,Verona,BELAHYANE
2,Verona,DUDA
2,Verona,LAZOVIC
2,Verona,SUSLOV
2,Verona,ROCHA LIVRAMENTO
2,Verona,MOSQUERA
2,Juventus,VLAHOVIC
2,Juventus,MBANGULA
2,Juventus,YILDIZ
2,Juventus,CAMBIASO
2,Juventus,LOCATELLI
2,Juventus,FAGIOLI
2,Juventus,CABAL
2,Juventus,BREMER
2,Juventus,GATTI
2,Juventus,SAVONA
2,Juventus,DI GREGORIO
3,Venezia,JORONEN
3,Venezia,IDZES
3,Venezia,SVOBODA
3,Venezia,SVERKO
3,Venezia,CANDELA
3,Venezia,NICOLUSSI CAVIGLIA
3,Venezia,DUNCAN
3,Venezia,ZAMPANO
3,Venezia,ELLERTSSON
3,Venezia,ORISTANIO
3,Venezia,POHJANPALO
3,Torino,ZAPATA D.
3,Torino,ADAMS C.
3,Torino,SOSA B.
3,Torino,ILIC
3,Torino,LINETTY
3,Torino,RICCI S.
3,Torino,LAZARO
3,Torino,MASINA
3,Torino,COCO
3,Torino,VOJVODA
3,Torino,MILINKOVIC-SAVIC V.
3,Inter,SOMMER
3,Inter,PAVARD
3,Inter,ACERBI
3,Inter,BASTONI
3,Inter,DARMIAN
3,Inter,BARELLA
3,Inter,CALHANOGLU
3,Inter,MKHITARYAN
3,Inter,DIMARCO
3,Inter,MARTINEZ L.
3,Inter,THURAM
3,Atalanta,RETEGUI
3,Atalanta,BRESCIANINI
3,Atalanta,SAMARDZIC
3,Atalanta,ZAPPACOSTA
3,Atalanta,EDERSON D.S.
3,Atalanta,PASALIC
3,Atalanta,BELLANOVA
3,Atalanta,RUGGERI
3,Atalanta,DJIMSITI
3,Atalanta,DE ROON
3,Atalanta,CARNESECCHI
3,Bologna,SKORUPSKI
3,Bologna,POSCH
3,Bologna,BEUKEMA
3,Bologna,LUCUMI'
3,Bologna,MIRANDA J.
3,Bologna,FABBIAN
3,Bologna,FREULER
3,Bologna,MORO N.
3,Bologna,ORSOLINI
3,Bologna,CASTRO S.
3,Bologna,KARLSSON
3,Empoli,COLOMBO
3,Empoli,SOLBAKKEN
3,Empoli,FAZZINI
3,Empoli,PEZZELLA GIU.
3,Empoli,HENDERSON L.
3,Empoli,GRASSI
3,Empoli,GYASI
3,Empoli,VITI
3,Empoli,ISMAJLI
3,Empoli,GOGLICHIDZE
