giornata,partita,titolari
2,Salernitana,Botheim
2,Salernitana,Candreva
2,Salernitana,Vilhena
2,Salernitana,Radovanovic
2,Salernitana,Maggiore
2,Salernitana,Mazzocchi
2,Salernitana,Gyomber
2,Salernitana,Fazio
2,Salernitana,Bronn
2,Salernitana,Sepe
2,Inter,Handanovic
2,Inter,Skriniar
2,Inter,De Vrij
2,Inter,Bastoni
2,Inter,Dumfries
2,Inter,Barella
2,Inter,Brozovic
2,Inter,Calhanoglu
2,Inter,Dimarco
2,Inter,Martinez L.
2,Inter,Lukaku
2,Spezia,Agudelo
2,Spezia,Reca
2,Spezia,Bastoni S.
2,Spezia,Sala
2,Spezia,Bourabia
2,Spezia,Gyasi
2,Spezia,Nikolaou
2,Spezia,Kiwior
2,Spezia,Caldara
2,Spezia,Dragowski
2,Sassuolo,Consigli
2,Sassuolo,Toljan
2,Sassuolo,Erlic
2,Sassuolo,Ferrari G.
2,Sassuolo,Rogerio
2,Sassuolo,Frattesi
2,Sassuolo,Lopez M.
2,Sassuolo,Matheus Henrique
2,Sassuolo,Berardi
2,Sassuolo,Pinamonti
2,Sassuolo,Kyriakopoulos
2,Lecce,Ceesay
2,Lecce,Strefezza
2,Lecce,Gonzalez J.
2,Lecce,Hjulmand
2,Lecce,Bistrovic
2,Lecce,Gallo
2,Lecce,Baschirotto
2,Lecce,Blin
2,Lecce,Gendrey
2,Lecce,Falcone
2,Empoli,Vicario
2,Empoli,Stojanovic
2,Empoli,Ismajli
2,Empoli,Luperto
2,Empoli,Parisi
2,Empoli,Henderson L.
2,Empoli,Marin
2,Empoli,Bandinelli
2,Empoli,Bajrami
2,Empoli,Lammers
2,Empoli,Destro
2,Fiorentina,Jovic
2,Fiorentina,Ikone'
2,Fiorentina,Maleh
2,Fiorentina,Mandragora
2,Fiorentina,Bonaventura
2,Fiorentina,Terzic
2,Fiorentina,Martinez Quarta
2,Fiorentina,Milenkovic
2,Fiorentina,Dodo'
2,Fiorentina,Gollini
2,Napoli,Meret
2,Napoli,Di Lorenzo
2,Napoli,Rrahmani
2,Napoli,Kim
2,Napoli,Mario Rui
2,Napoli,Zambo Anguissa
2,Napoli,Lobotka
2,Napoli,Zielinski
2,Napoli,Lozano
2,Napoli,Osimhen
2,Napoli,Kvaratskhelia
2,Monza,Caprari
2,Monza,D'alessandro
2,Monza,Sensi
2,Monza,Barberis
2,Monza,Ranocchia F.
2,Monza,Birindelli
2,Monza,Carboni
2,Monza,Ranocchia
2,Monza,Marlon
2,Monza,Di Gregorio
2,Atalanta,Musso
2,Atalanta,Toloi
2,Atalanta,Demiral
2,Atalanta,Djimsiti
2,Atalanta,Hateboer
2,Atalanta,De Roon
2,Atalanta,Koopmeiners
2,Atalanta,Maehle
2,Atalanta,Pasalic
2,Atalanta,Malinovskyi
2,Atalanta,Zapata D.
2,Milan,Rafael Leao
2,Milan,Diaz B.
2,Milan,Messias
2,Milan,Bennacer
2,Milan,Tonali
2,Milan,Hernandez T.
2,Milan,Tomori
2,Milan,Kalulu
2,Milan,Calabria
2,Milan,Maignan
2,Bologna,Skorupski
2,Bologna,De Silvestri
2,Bologna,Medel
2,Bologna,Bonifazi
2,Bologna,Kasius
2,Bologna,Schouten
2,Bologna,Dominguez
2,Bologna,Soriano
2,Bologna,Cambiaso
