giornata,casa,ospite,esito
25,Spezia,Verona,x
25,Sampdoria,Salernitana,x
25,Inter,Lecce,x
25,Roma,Juventus,x
25,Sassuolo,Cremonese,x
25,Torino,Bologna,x
26,Spezia,Inter,x
26,Empoli,Udinese,x
26,Napoli,Atalanta,x
26,Bologna,Lazio,x
26,Lecce,Torino,x
26,Cremonese,Fiorentina,x
26,Verona,Monza,x
26,Roma,Sassuolo,x
26,Juventus,Sampdoria,x
26,Milan,Salernitana,x
27,Sassuolo,Spezia,x
27,Atalanta,Empoli,x
27,Monza,Cremonese,x
27,Salernitana,Bologna,x
27,Udinese,Milan,x
27,Sampdoria,Verona,x
27,Fiorentina,Lecce,x
27,Torino,Napoli,x
27,Lazio,Roma,x
27,Inter,Juventus,x
28,Cremonese,Atalanta,x
28,Inter,Fiorentina,x
28,Juventus,Verona,x
28,Bologna,Udinese,x
28,Monza,Lazio,x
28,Spezia,Salernitana,x
28,Roma,Sampdoria,x
28,Napoli,Milan,x
28,Empoli,Lecce,x
28,Sassuolo,Torino,x
29,Salernitana,Inter,x
29,Lecce,Napoli,x
29,Milan,Empoli,x
29,Udinese,Monza,x
29,Fiorentina,Spezia,x
29,Atalanta,Bologna,x
29,Sampdoria,Cremonese,x
29,Verona,Sassuolo,x
29,Torino,Roma,x
29,Lazio,Juventus,x
30,Cremonese,Empoli,x
30,Spezia,Lazio,x
30,Bologna,Milan,x
30,Napoli,Verona,x
30,Inter,Monza,x
30,Lecce,Sampdoria,x
30,Torino,Salernitana,x
30,Sassuolo,Juventus,x
30,Roma,Udinese,x
30,Fiorentina,Atalanta,x
31,Verona,Bologna,x
31,Salernitana,Sassuolo,x
31,Lazio,Torino,x
31,Sampdoria,Spezia,x
31,Empoli,Inter,x
31,Udinese,Cremonese,x
31,Monza,Fiorentina,x
31,Milan,Lecce,x
31,Juventus,Napoli,x
31,Atalanta,Roma,x
32,Lecce,Udinese,x
32,Spezia,Monza,x
32,Roma,Milan,x
32,Torino,Atalanta,x
32,Inter,Lazio,x
32,Cremonese,Verona,x
32,Napoli,Salernitana,x
32,Sassuolo,Empoli,x
32,Fiorentina,Sampdoria,x
32,Bologna,Juventus,x
33,Atalanta,Spezia,x
33,Juventus,Lecce,x
33,Sampdoria,Torino,x
33,Salernitana,Fiorentina,x
33,Verona,Inter,x
33,Lazio,Sassuolo,x
33,Monza,Roma,x
33,Milan,Cremonese,x
33,Empoli,Bologna,x
33,Udinese,Napoli,x
34,Milan,Lazio,x
34,Roma,Inter,x
34,Cremonese,Spezia,x
34,Atalanta,Juventus,x
34,Torino,Monza,x
34,Napoli,Fiorentina,x
34,Lecce,Verona,x
34,Empoli,Salernitana,x
34,Udinese,Sampdoria,x
34,Sassuolo,Bologna,x
35,Lazio,Lecce,x
35,Salernitana,Atalanta,x
35,Spezia,Milan,x
35,Inter,Sassuolo,x
35,Verona,Torino,x
35,Fiorentina,Udinese,x
35,Monza,Napoli,x
35,Bologna,Roma,x
35,Juventus,Cremonese,x
35,Sampdoria,Empoli,x
36,Sassuolo,Monza,x
36,Cremonese,Bologna,x
36,Atalanta,Verona,x
36,Milan,Sampdoria,x
36,Lecce,Spezia,x
36,Torino,Fiorentina,x
36,Napoli,Inter,x
36,Udinese,Lazio,x
36,Roma,Salernitana,x
36,Empoli,Juventus,x
37,Sampdoria,Sassuolo,x
37,Salernitana,Udinese,x
37,Spezia,Torino,x
37,Fiorentina,Roma,x
37,Inter,Atalanta,x
37,Verona,Empoli,x
37,Bologna,Napoli,x
37,Monza,Lecce,x
37,Lazio,Cremonese,x
37,Juventus,Milan,x
38,Sassuolo,Fiorentina,x
38,Torino,Inter,x
38,Cremonese,Salernitana,x
38,Empoli,Lazio,x
38,Napoli,Sampdoria,x
38,Atalanta,Monza,x
38,Roma,Spezia,x
38,Lecce,Bologna,x
38,Milan,Verona,x
38,Udinese,Juventus,x
